Date,Close/Last,Volume,Open,High,Low
02/10/2023,31.62,74754,30.76,31.71,30.62
02/09/2023,30.68,73831,31.68,31.81,30.645
02/08/2023,31.4,67818,32.13,32.13,31.265
02/07/2023,32.2,69844,32.39,32.39,31.71
02/06/2023,32.49,124025,32.67,32.975,32.165
02/03/2023,32.66,106431,32.34,33.11,32.1
02/02/2023,32.7,63643,32.78,33.09,32.37
02/01/2023,32.41,76341,32.49,32.87,31.845
01/31/2023,32.42,89283,31.22,32.46,31.22
01/30/2023,31.1,63426,31.14,31.35,30.68
01/27/2023,31.29,39754,31.41,31.6699,31.19
01/26/2023,31.49,48032,31,31.53,30.7
01/25/2023,30.85,47721,30.7,30.85,30.34
01/24/2023,30.85,98668,31.73,31.73,30.71
01/23/2023,30.65,68057,30.72,31.23,30.37
01/20/2023,30.57,63509,30.61,30.765,30.11
01/19/2023,30.37,52384,29.76,30.48,29.51
01/18/2023,30.11,53969,30.76,30.9,30.06
01/17/2023,30.56,77564,30.33,31.2432,30.33
01/13/2023,30.27,74651,30.08,30.44,29.795
01/12/2023,30.21,68553,30.72,30.72,30.06
01/11/2023,30.36,58068,30.33,30.75,30.06
01/10/2023,30.23,62807,29,30.29,29
01/09/2023,29.27,82537,30.09,30.319,29.25
01/06/2023,30.03,67423,29.26,30.3,29.08
01/05/2023,28.94,139026,29.07,29.1499,28.345
01/04/2023,29.13,82728,28.72,29.33,28.56
01/03/2023,28.56,161646,27.6,28.62,27.6
12/30/2022,27.54,85924,27.54,27.89,27.345
12/29/2022,27.63,75660,27.18,27.7,27.01
12/28/2022,27.2,135788,27.19,27.715,27.1
12/27/2022,27.14,52903,27.51,27.51,26.85
12/23/2022,27.47,87747,27,27.71,27
12/22/2022,27.3,89399,26.95,27.3,26.43
12/21/2022,27.17,134114,26.95,27.675,26.95
12/20/2022,26.96,176691,26.49,27.29,26.15
12/19/2022,26.65,157927,27.51,27.51,26.48
12/16/2022,27.61,340750,25.78,27.84,25.76
12/15/2022,25.82,153588,25.64,26.05,25.05
12/14/2022,25.87,184808,26.29,26.9,25.63
12/13/2022,26.35,275359,25.11,26.79,25.044
12/12/2022,24.21,77859,24.48,24.48,24.03
12/09/2022,24.52,67913,24.4,25.24,24.18
12/08/2022,24.44,88412,25.04,25.27,24.17
12/07/2022,25.04,137643,24.46,25.185,24.44
12/06/2022,24.52,102122,24.51,24.56,24.15
12/05/2022,24.52,120310,25.01,25.14,24.28
12/02/2022,25.01,143878,24.83,25.74,24.26
12/01/2022,24.79,169007,25.14,25.1951,23.75
11/30/2022,25.15,145120,23.7,25.2,22.86
11/29/2022,23.69,73991,24.02,24.165,23.6
11/28/2022,23.94,84525,24.2,24.21,23.65
11/25/2022,24.21,51102,24.02,24.64,23.91
11/23/2022,24.14,48886,24.03,24.36,23.82
11/22/2022,23.95,54895,23.98,24.31,23.6575
11/21/2022,23.88,85460,24.15,24.21,23.41
11/18/2022,24.07,79366,25.21,25.21,23.911
11/17/2022,24.79,53911,24.54,25.15,24.5
11/16/2022,24.74,109624,25.25,25.25,24.54
11/15/2022,25.29,58841,25.27,25.59,24.88
11/14/2022,24.83,63657,25.35,25.645,24.7808
11/11/2022,25.4,113860,26.01,26.01,25.07
11/10/2022,25.96,107190,25.51,26.305,25.3
11/09/2022,24.43,124713,25.79,25.82,24.4
11/08/2022,26.14,218908,24.86,26.6,24.86
11/07/2022,24.81,136856,24.01,24.86,23.61
11/04/2022,24,182634,23.67,24.05,22.76
11/03/2022,23.48,153435,24.06,24.22,23.31
11/02/2022,24.13,295958,24.06,25.1199,23.77
11/01/2022,23.88,169702,24.72,24.72,23.4
10/31/2022,24.41,177193,24.56,24.77,23.59
10/28/2022,24.3,282544,23.58,24.52,22.71
10/27/2022,23.4,514221,28.3,28.37,23.35
10/26/2022,32.07,143249,31.66,32.67,31.56
10/25/2022,31.47,61938,30.55,31.74,30.45
10/24/2022,30.76,89276,31,31.125,30.4
10/21/2022,30.69,102991,30.74,31.03,29.97
10/20/2022,30.76,96969,31.57,31.83,30.68
10/19/2022,31.47,86514,32.17,32.66,31.25
10/18/2022,32.5,144585,32.17,32.915,31.98
10/17/2022,31.69,110720,31.46,31.995,31.46
10/14/2022,30.94,108614,31.7,31.82,30.88
10/13/2022,31.49,161199,31.22,32.0729,31
10/12/2022,31.79,112953,32.42,32.72,31.74
10/11/2022,32.39,100911,32.87,33.23,31.92
10/10/2022,32.78,63788,32.06,33.2,32.06
10/07/2022,32.23,95919,33,33,31.65
10/06/2022,33.31,92490,33.48,33.79,33.15
10/05/2022,33.59,104551,33.85,34.32,33.48
10/04/2022,34.16,242913,33.74,34.625,33.74
10/03/2022,33.57,107336,32.62,33.91,32
09/30/2022,32.16,124326,32.08,33.24,32.04
09/29/2022,32.12,89576,32.41,32.41,31.36
09/28/2022,32.84,122578,31.87,33.15,31.675
09/27/2022,31.58,154044,31.42,32.27,31.01
09/26/2022,31.21,133773,30.77,31.76,30.77
09/23/2022,30.99,112459,31.29,31.29,30.45
09/22/2022,31.77,118509,32.57,32.57,31.38
09/21/2022,32.65,93352,33.08,33.99,32.53
09/20/2022,33.07,116816,33.42,33.7942,32.5
09/19/2022,33.78,65039,33.78,34.3169,33.4
09/16/2022,34.09,211898,34.12,34.1615,32.79
09/15/2022,34.41,81777,34.33,34.94,34.19
09/14/2022,34.56,98565,35.01,35.01,34.09
09/13/2022,35.02,80315,35.68,35.95,34.8
09/12/2022,36.28,103192,35.64,36.59,35.315
09/09/2022,35.45,54560,35.31,35.63,34.78
09/08/2022,34.9,63537,35.4,35.4,34.64
09/07/2022,35.61,63658,35.35,35.67,34.811
09/06/2022,35.27,74491,35.95,35.95,34.84
09/02/2022,35.68,70692,36.21,36.32,35.41
09/01/2022,35.66,92505,35.2,36.18,35.07
08/31/2022,35.41,204807,36.65,36.8688,35.04
08/30/2022,36.43,113552,37.13,37.13,36.38
08/29/2022,37.01,64626,37.1,37.3,36.66
08/26/2022,37.52,87895,38.03,38.36,37.43
08/25/2022,38.38,46951,38.91,38.91,38.11
08/24/2022,38.56,70144,38.51,39.1,38.13
08/23/2022,38.77,71610,38.22,39.145,38.22
08/22/2022,38.27,105002,39.64,39.655,37.93
08/19/2022,40.18,118481,40.15,40.68,39.69
08/18/2022,40.41,69637,40.37,40.84,40.05
08/17/2022,40.63,127201,40.4,40.905,40.03
08/16/2022,40.63,124722,40.58,41.39,40.41
08/15/2022,41.03,175105,40.5,41.51,40.2034
08/12/2022,39.85,86967,38.4,40.06,38.31
