Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,9.938509,10.338201,9.892390,10.261337,9.733604,1823352
2018-01-03,10.261337,10.338201,9.315911,9.331284,8.851383,4402584
2018-01-04,9.331284,9.508071,9.093005,9.485012,8.997206,3080378
2018-01-05,9.454266,9.654112,9.362029,9.508071,9.019078,1420302
2018-01-08,9.500384,9.500384,9.185242,9.292852,8.814929,1835581
2018-01-09,9.300538,9.377402,9.031514,9.085319,8.618066,1699106
2018-01-10,9.062260,9.200615,8.993082,9.146810,8.676394,1226713
2018-01-11,9.177556,9.438893,9.139124,9.338970,8.858674,1342242
2018-01-12,9.362029,9.392775,9.208301,9.369716,8.887840,1086075
2018-01-16,9.354343,9.538816,9.262106,9.323597,8.844091,1525553
2018-01-17,9.338970,9.461952,9.177556,9.200615,8.727433,1470781
2018-01-18,9.162183,9.231360,9.069946,9.200615,8.727433,965342
2018-01-19,9.185242,9.446580,9.123751,9.346656,8.865966,1291112
2018-01-22,9.346656,9.531130,9.146810,9.415834,8.931584,1891654
2018-01-23,9.438893,9.546503,9.262106,9.523444,9.033662,1226453
2018-01-24,9.531130,9.700231,9.485012,9.584935,9.091990,1194448
2018-01-25,9.615680,9.646426,9.362029,9.454266,8.968039,681724
2018-01-26,9.485012,9.823213,9.392775,9.730976,9.230519,2450434
2018-01-29,9.723290,9.746349,9.254420,9.415834,8.931584,1545198
2018-01-30,9.354343,9.431207,9.162183,9.285165,8.807635,1382443
2018-01-31,9.331284,9.338970,9.016141,9.169869,8.698271,1249480
2018-02-01,9.108378,9.177556,8.793236,8.800922,8.348298,1785362
2018-02-02,8.777863,8.808609,8.539585,8.601076,8.158730,1451916
2018-02-05,8.531899,8.547271,8.070715,8.078401,7.662935,2479576
2018-02-06,7.940046,8.193697,7.870869,8.155265,7.735846,2106449
2018-02-07,8.193697,8.316679,8.070715,8.255188,7.830629,1439947
2018-02-08,8.316679,8.455035,8.101460,8.285934,7.859794,1861731
2018-02-09,8.347425,8.378171,7.548040,7.955419,7.546278,2324497
2018-02-12,7.963105,8.009224,7.740200,7.855496,7.451494,1329102
2018-02-13,7.832437,7.924673,7.717141,7.817064,7.415038,1083993
2018-02-14,7.786318,8.270561,7.732513,8.255188,7.830629,1801235
2018-02-15,8.601076,8.624135,8.047656,8.378171,7.947288,1858088
2018-02-16,8.339739,8.385857,8.239816,8.255188,7.830629,1320645
2018-02-20,8.308993,8.339739,7.801691,7.824750,7.422328,1481319
2018-02-21,7.817064,7.955419,7.609531,7.732513,7.334835,2433260
2018-02-22,7.778632,8.339739,7.778632,7.778632,7.378584,1863552
2018-02-23,7.847809,7.901614,7.248271,7.686395,7.291090,4255571
2018-02-26,7.678709,7.686395,7.386626,7.463490,7.079649,2857907
2018-02-27,7.524981,7.563413,7.125288,7.148347,6.780713,5780733
2018-02-28,7.117602,7.248271,6.817832,6.917756,6.561981,4335322
2018-03-01,6.917756,7.471176,6.917756,7.232898,6.860915,4523707
2018-03-02,6.395081,7.563413,6.395081,7.494235,7.108812,9934956
2018-03-05,7.617218,8.124520,7.348194,7.786318,7.385873,5181233
